Cohort,Company,Fiscal Year,Quarter,EBIT,Invested Capital,Risk Free Rate (AveraCompany2 Annual 3-Month T Bill),Capital CharCompany2,EBITDA,Return Volatility,Company Value,Company Value Volatility,Level of Protection,Risk Capital,Cost of Equity,Risk Premium,Risk CharCompany2,Risk Adjusted Profit,RAROC
Industry2,Company21,2013,1,-5.584,1143.778,0.000863333,0.987461673,12.266,10.24095341,4604.572806,47155.21559,1.381705,65154.59715,0.111372382,0.110509049,7200.172553,-7206.744014,-6.300824123
Industry2,Company21,2013,2,-11.792,1887.844,0.000515625,0.973419563,28.256,10.24095341,12884.31583,131947.6782,1.381705,182312.7667,0.116722671,0.116207046,21186.02803,-21198.79345,-11.22910233
Industry2,Company21,2013,3,-30.554,2166.209,0.000321875,0.697248522,-2.104,10.24095341,23504.89437,240712.5282,1.381705,332593.7038,0.105345902,0.105024027,34930.33008,-34961.58133,-16.13952362
Industry2,Company21,2013,4,-13.353,2416.93,0.000601613,1.454056274,24.232,10.24095341,18277.44353,187178.4477,1.381705,258625.3971,0.110270824,0.109669211,28363.24338,-28378.05043,-11.74136215
Industry2,Company21,2014,1,-43.967,4500.41,0.000493443,2.220694115,0.301,10.24095341,25404.08759,260162.0775,1.381705,359467.2433,0.108789256,0.108295813,38928.79733,-38974.98502,-8.660318732
Industry2,Company21,2014,2,-28.753,5054.463,0.000330159,1.668775086,25.962,10.24095341,29684.35441,303996.0906,1.381705,420032.9184,0.092985226,0.092655067,38918.1781,-38948.59988,-7.705783953
Industry2,Company21,2014,3,-39.129,5437.533,0.000264063,1.435848558,25.843,10.24095341,30459.78638,311937.2533,1.381705,431005.2625,0.090995297,0.090731235,39105.63961,-39146.20446,-7.199258278
Industry2,Company21,2014,4,-74.838,5830.667,0.000225806,1.316602226,-6.862,10.24095341,28536.54767,292241.4553,1.381705,403791.48,0.100765441,0.100539635,40597.04796,-40673.20256,-6.97573752
Industry2,Company21,2015,1,-102.446,6120.03,0.000245902,1.50492541,-25.334,10.24095341,24873.60494,254729.4294,1.381705,351960.9262,0.10864803,0.108402129,38153.31366,-38257.26459,-6.251156381
Industry2,Company21,2015,2,-170.188,6468.185,0.000182813,1.18246507,-78.799,10.24095341,35633.31804,364919.15,1.381705,504210.6142,0.102358762,0.10217595,51518.1983,-51689.56877,-7.991355963
Industry2,Company21,2015,3,-183.662,7547.497,0.000426563,3.219479189,-73.296,10.24095341,33722.9754,345355.42,1.381705,477179.3106,0.105576931,0.105150369,50175.58058,-50362.46206,-6.672736943
Industry2,Company21,2015,4,-260.333,8067.939,0.001254839,10.12396216,-116.61,10.24095341,32995.42625,337904.6231,1.381705,466884.5072,0.104406962,0.103152123,48160.12812,-48430.58508,-6.002844727
Industry2,Company21,2016,1,-248.224,9191.702,0.002904918,26.70114089,-91.764,10.24095341,32477.00366,332595.4815,1.381705,459548.8397,0.122339524,0.119434606,54886.03457,-55160.95971,-6.001169284
Industry2,Company21,2016,2,-238.04,11868.952,0.00259375,30.78509425,-54.808,10.24095341,31421.1512,321782.5456,1.381705,444608.5522,0.121635704,0.119041954,52927.0707,-53195.89579,-4.481937057
Industry2,Company21,2016,3,85.622,12592.397,0.002982813,37.56075918,366.09,10.24095341,30188.72875,309161.3647,1.381705,427169.8034,0.125602629,0.122619816,52379.4827,-52331.42146,-4.155795077
Industry2,Company21,2016,4,-266.698,22664.076,0.004332787,98.19861126,60.241,10.24095341,39137.51509,400805.4687,1.381705,553794.9202,0.117818059,0.113485272,62847.56696,-63212.46357,-2.789103936
Industry2,Company21,2017,1,-257.549,25053.726,0.00606129,151.8579069,119.053,10.24095341,50841.5552,520665.9982,1.381705,719406.8131,0.123582513,0.117521222,84545.568,-84954.9749,-3.390911791
Industry2,Company21,2017,2,-240.916,26043.705,0.009080952,236.5016449,148.255,10.24095341,66144.79343,677385.748,1.381705,935947.2749,0.12424416,0.115163208,107786.6907,-108264.1084,-4.157016383
Industry2,Company21,2017,3,-535.48,28107.074,0.010539683,296.2396371,-134.856,10.24095341,65155.0697,667250.0334,1.381705,921942.7074,0.130653682,0.120113999,110738.2257,-111569.9454,-3.969461402
Industry2,Company21,2017,4,-598.141,28655.372,0.012266129,351.4904904,-128.535,10.24095341,60796.87995,622618.0152,1.381705,860274.4247,0.143720869,0.13145474,113087.1505,-114036.782,-3.979595238
Industry2,Company21,2018,1,-596.974,27271.429,0.015821311,431.4697726,-180.741,10.24095341,54458.7615,557709.6394,1.381705,770590.1973,0.113728947,0.097907635,75446.66387,-76475.10764,-2.80422077
Industry2,Company21,2018,2,-621.392,27910,0.018746875,523.2252813,-136.137,10.24095341,68589.8912,702425.8804,1.381705,970545.351,0.105589312,0.086842437,84284.5237,-85429.14098,-3.06087929
Industry2,Company21,2018,3,416.757,29262.713,0.020746032,607.0851729,919.582,10.24095341,55584.98506,569243.2424,1.381705,786526.2343,0.105024976,0.084278944,66287.60078,-66477.92895,-2.271762326
Industry2,Company21,2018,4,413.536,29739.614,0.023567213,700.8798211,910.273,10.24095341,67118.3924,687356.3297,1.381705,949723.6775,0.09373414,0.070166927,66639.19229,-66926.53611,-2.250417107
Industry2,Company22,2008,1,n/a,n/a,0.021044262,0.021044262,n/a,10.24095341,n/a,10.24095341,1.381705,14.14997653,n/a,n/a,14.14997653,n/a,n/a
Industry2,Company22,2008,2,n/a,n/a,0.016501563,0.016501563,n/a,10.24095341,n/a,10.24095341,1.381705,14.14997653,n/a,n/a,14.14997653,n/a,n/a
Industry2,Company22,2008,3,n/a,n/a,0.015203125,0.015203125,n/a,10.24095341,n/a,10.24095341,1.381705,14.14997653,n/a,n/a,14.14997653,n/a,n/a
Industry2,Company22,2008,4,n/a,n/a,0.003276271,0.003276271,n/a,10.24095341,n/a,10.24095341,1.381705,14.14997653,n/a,n/a,14.14997653,n/a,n/a
Industry2,Company22,2009,1,n/a,n/a,0.002122951,0.002122951,n/a,10.24095341,n/a,10.24095341,1.381705,14.14997653,n/a,n/a,14.14997653,n/a,n/a
Industry2,Company22,2009,2,n/a,n/a,0.001712698,0.001712698,n/a,10.24095341,n/a,10.24095341,1.381705,14.14997653,n/a,n/a,14.14997653,n/a,n/a
Industry2,Company22,2009,3,n/a,n/a,0.0016,0.0016,n/a,10.24095341,n/a,10.24095341,1.381705,14.14997653,n/a,n/a,14.14997653,n/a,n/a
Industry2,Company22,2009,4,-22.925,130.424,0.000604839,0.078885484,-20.99,10.24095341,n/a,10.24095341,1.381705,14.14997653,0.10650936,0.105904521,1.498546491,-24.50243198,-0.187867509
Industry2,Company22,2010,1,-25.998,145.32,0.001098361,0.15961377,-23.857,10.24095341,n/a,10.24095341,1.381705,14.14997653,0.10401654,0.102918179,1.456289823,-27.61390359,-0.190021357
Industry2,Company22,2010,2,-31.362,147.974,0.001482813,0.219417697,-28.879,10.24095341,501.8166626,5139.081063,1.381705,7100.694,0.11748103,0.115998218,823.6678471,-855.2492648,-5.779726606
Industry2,Company22,2010,3,-37.834,361.621,0.001548438,0.559947517,-34.725,10.24095341,1863.686586,19085.9275,1.381705,26371.12146,0.029398826,0.027850389,734.4459839,-772.8399314,-2.137154456
Industry2,Company22,2010,4,-51.645,386.082,0.001395161,0.538646661,-48.755,10.24095341,2500.454893,25607.04207,1.381705,35381.37806,-0.001609603,-0.003004764,-106.3127008,54.12905411,0.140200927
Industry2,Company22,2011,1,-47.346,407.289,0.001267742,0.516337345,-43.829,10.24095341,2654.17181,27181.24986,1.381705,37556.46883,0.023005884,0.021738142,816.4078513,-864.2701886,-2.122007195
Industry2,Company22,2011,2,-58.739,646.155,0.000452381,0.292308214,-54.421,10.24095341,2844.40921,29129.4622,1.381705,40248.32357,0.040994967,0.040542586,1631.77113,-1690.802438,-2.616713386
Industry2,Company22,2011,3,-64.477,700.25,0.00025,0.1750625,-60.197,10.24095341,2488.826588,25487.95714,1.381705,35216.83782,0.093983951,0.093733951,3301.013356,-3365.665418,-4.806376892
Industry2,Company22,2011,4,-80.927,713.448,0.000147541,0.10526282,-76.123,10.24095341,2985.206511,30571.3608,1.381705,42240.60208,0.089563942,0.089416401,3777.002601,-3858.034864,-5.407590832
Industry2,Company22,2012,1,-88.763,761.1,0.000706452,0.537680323,-84.6,10.24095341,4038.665035,41359.78047,1.381705,57147.01547,0.091793783,0.091087331,5205.369109,-5294.669789,-6.956602009
Industry2,Company22,2012,2,-106.175,776.869,0.000882812,0.685829664,-101.827,10.24095341,3523.986653,36088.98314,1.381705,49864.32845,0.099654193,0.098771381,4925.16857,-5032.029399,-6.477320371
Industry2,Company22,2012,3,-108.46,809.177,0.001015873,0.822021079,-100.938,10.24095341,3485.83778,35698.30231,1.381705,49324.52279,0.105210446,0.104194573,5139.3476,-5248.629622,-6.486380139
Industry2,Company22,2012,4,-90.883,1114.19,0.000896721,0.999117918,-78.091,10.24095341,4133.21346,42328.04649,1.381705,58484.87348,0.112655383,0.111758661,6536.191172,-6628.07329,-5.948781886
Industry2,Company22,2013,1,-5.584,1143.778,0.000863333,0.987461673,12.266,10.24095341,4604.572806,47155.21559,1.381705,65154.59715,0.111372382,0.110509049,7200.172553,-7206.744014,-6.300824123
Industry2,Company22,2013,2,-11.792,1887.844,0.000515625,0.973419563,28.256,10.24095341,12884.31583,131947.6782,1.381705,182312.7667,0.116722671,0.116207046,21186.02803,-21198.79345,-11.22910233
