id,cap_name,type,industry_tree_id,company_id,parentId,mpath,capability_lib_id,capability,tags,location,technologies,hierarchy_id
15641,Supplier Relationship Management,master,,,15640,6385.15512.15616.15640.15641.,924,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15649,Order Management,master,,,15640,6385.15512.15616.15640.15649.,643,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15650,Deliver,master,,,15649,6385.15512.15616.15640.15649.15650.,28,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15656,Make,master,,,15616,6385.15512.15616.15656.,25,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15657,Planning and Scheduling,master,,,6385,6385.15657.,692,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],111
15660,Production,master,,,15656,6385.15512.15616.15656.15660.,754,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15666,Maintenance,master,,,15660,6385.15512.15616.15656.15660.15666.,571,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15668,Quality Management,master,,,15656,6385.15512.15616.15656.15668.,774,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15674,Root Cause Analysis,master,,,15668,6385.15512.15616.15656.15668.15674.,843,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15676,Waste Management,master,,,15656,6385.15512.15616.15656.15676.,972,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15680,Move/Deliver,master,,,15616,6385.15512.15616.15680.,617,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15686,Order Validation,master,,,15680,6385.15512.15616.15680.15686.,644,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15687,Inventory Reservations,master,,,15686,6385.15512.15616.15680.15686.15687.,532,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15691,Load Management,master,,,15680,6385.15512.15616.15680.15691.,560,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15695,Compliance Management,master,,,15596,6385.15512.15596.15695.,279,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15699,Returns Management,master,,,15628,6385.15512.15616.15628.15699.,826,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15701,Service,master,,,15616,6385.15512.15616.15701.,874,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15705,Technology,master,,,15512,6385.15512.15705.,932,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],16
15711,Infrastructure & Networks,master,,,15705,6385.15512.15705.15711.,513,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15713,Warehouse & Inventory Management,master,,,15512,6385.15512.15713.,967,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],2
15719,Inventory Management,master,,,15713,6385.15512.15713.15719.,531,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],2
